2532A027 2532A028;2532A014 2541A001;2541A006 2543A017;2;294282.5
2543A007 2543A001;2541A001 2541A006;2543A020 2543A019;2;294316.5
2533A109 2533A006;2533A006 2533A007;2533A005 2533A006;2;294329.5
2533A043 2533A045;2533A043 2533A007;2533A042 2533A043;2;294340.5
2541A044022541A002;2532A014 2541A001;2541A007 2541A008;2;294356.5
2523A010 2523A002;2523A012 2523A013;2523A002 2523A016;2;294379.5
2533A084 2533A087;2534A040 2534A039;3511A015 2533A089;2;294382.5
2541A044022541A002;2541A002 2532A013;2541A009 2541A010;2;294412.5
2532A014 2541A001;2532A015 2532A016;2543A017 2543A007;2;294426.5
2533A065 2533A064;2533A026 2533A027;2533A025 2533A026;2;294442.5
2514A037 2514A092;2514A039 2514A040;2514A176 2514A036;2;294443.5
2523A001 2523A015;2523A015 2524A001;2523A011 2523A012;2;294448.5
2532A010032532A107;2532A109 2532A01104;2514A007082532A106;2;294463.5
2541A002 2532A013;2541A001 2541A006;2532A015 2532A016;2;294473.5
2523A001 2523A015;2523A050 2524A001;2523A011 2523A012;2;294490.5
2514A092 2523A042;2514A038 2514A039;2514A176 2514A036;2;294494.5
2523A003 2523A004;2523A006 2523A027;2523A006 2523A007;2;294513.5
2534A028 2534A030;2534A055 2534A030;2534A031 2543A003;2;294513.5
3511A007 3511A048;3511A033 3511A048;3511A048 3511A008;2;294610.5
2514A092 2523A042;2514A037 2514A038;2514A176 2514A036;2;294635.5
2513A193 2513A087;2514A008 2514A001;2513A193 2513A029;2;294646.5
2534A005 2534A024;3512A002 3512A008;2534A024 2534A025;2;294657.5
2532A027 2532A028;2532A013 2532A014;2541A001 2541A006;2;294665.5
2523A003 2523A004;2514A020 2523A003;2514A033032514A034;2;294666.5
2523A003 2523A004;2514A020 2523A003;2523A034 2523A032;2;294666.5
2523A003 2523A004;2523A032 2523A031;2514A020 2523A003;2;294666.5
2523A015 2523A014;2523A003 2523A004;2514A020 2523A003;2;294666.5
2514A092 2523A042;2514A039 2514A040;2514A036 2514A037;2;294673.5
2533A084 2533A087;2533A089 2533A088;2534A040 2534A039;2;294674.5
2531A006 2531A007;2531A173 2531A006;2531A061 2531A006;2;294706.5
2543A007 2543A001;2534A043 2543A019;2541A006 2543A017;2;294706.5
2514A037 2514A092;2514A038 2514A039;2514A034 2514A176;2;294713.5
2533A008 3511A024;3511A024 3511A004;3511A035 3511A024;2;294718.5
2523A048 2523A050;2523A048 2523A050;2523A011 2523A012;2;294760.5
2532A038 2531A068;2531A068022531A069;2531A009032531A06801;2;294762.5
2532A013 2532A014;2532A015 2532A016;2541A006 2543A017;2;294766.5
2533A095 2533A096;2533A053 2533A002;2533A003 2533A055;2;294791.5
2543A007 2543A001;2543A001 2543A008;2534A043 2543A019;2;294794.5
2543A007 2543A001;2543A001 2543A008;2543A015 2543A010;2;294794.5
2543A007 2543A001;2543A001 2543A008;2543A020 2543A019;2;294794.5
2543A020 2543A007;2543A007 2543A001;2543A001 2543A008;2;294794.5
2532A014 2541A001;2532A015 2532A028;2541A006 2543A017;2;294840.5
2514A037 2514A092;2514A037 2514A038;2514A034 2514A176;2;294854.5
2532A017 2532A075;2532A075 2532A018;2532A076 2532A071;2;294879.5
2532A014 2541A001;2532A016 2541A001;2543A017 2543A007;2;294901.5
2534A002 2534A018;2534A017 2534A003;2534A020 2534A021;2;294934.5
2532A072 2532A097;2532A005 2532A037;2532A035 2532A036;2;294943.5
2541A002 2532A013;2541A001 2541A006;2532A016 2541A001;2;294948.5
2514A018 2514A01901;2514A019032514A00604;2514A033022514A01902;2;294949.5
2523A004 2523A005;2523A006 2523A027;2523A006 2523A007;2;294985.5
2541A044022541A002;2532A014 2541A001;2541A002 2541A007;2;295070.5
2541A044022541A002;2532A013 2532A014;2541A007 2541A008;2;295084.5
2514A037 2514A092;2514A040 2514A007;2514A036 2514A037;2;295090.5
2543A020 2543A007;2543A007 2543A001;2541A001 2541A006;2;295096.5
2534A024 3512A020;2534A005 3512A002;3512A006 3512A007;2;295112.5
